system:index,mean_SO2,year,.geo
0,1.7031027312074408E-4,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.7325651511475065E-4,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.6425667969886934E-4,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.8643852151408502E-4,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.7431027782813314E-4,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.7417940447539908E-4,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
