system:index,meanCO,time,.geo
20190225T075546_20190303T071712,0.039149991241894014,1551082641000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190227T071755_20190305T064441,0.03531014332493151,1551253170000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190228T065900_20190306T061939,0.03593726143488311,1551338434000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190301T064005_20190307T060022,0.03514412523831977,1551423699000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190303T074345_20190309T070145,0.03832903410195409,1551600319000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190304T072449_20190310T064404,0.040322193426576544,1551685584000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190305T070554_20190311T062443,0.03790878249891416,1551770848000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190306T064659_20190312T060737,0.0377177633687106,1551856113000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190307T062804_20190313T054840,0.03939758896501412,1551941378000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190308T060909_20190314T052924,0.0356697580858014,1552026643000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190308T075039_20190314T070929,0.03869647361358873,1552032733000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190309T073144_20190315T065016,0.0405225926805684,1552119509000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190310T071249_20190316T063059,0.038670873348160315,1552203263000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190311T065354_20190317T061138,0.03986878268657999,1552288528000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190314T073839_20190320T070348,0.034806133633468024,1552550413000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190315T071944_20190321T064427,0.03780093363532241,1552635678000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190316T070049_20190322T062510,0.036003607298385205,1552720943000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190317T064154_20190323T060555,0.03400779523808414,1552806208000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190318T062259_20190324T054639,0.038943216282618,1552891474000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190319T074534_20190325T070720,0.0369646458872788,1552982829000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190320T072639_20190326T064806,0.03945573791810905,1553068094000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190321T070744_20190328T150539,0.042960605379409975,1553153359000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190322T064849_20190329T010444,0.033472612367000554,1553238624000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190325T073335_20190331T065601,0.03764722596786759,1553500509000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190326T071440_20190401T063522,0.03974959040831909,1553585774000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190327T065545_20190402T061603,0.04171265347095688,1553671039000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190328T063650_20190403T055639,0.0401846205852017,1553756304000,"{""type"":""MultiPoint"",""coordinates"":[]}"
